iter	RMSE
0	8425.73909
1	6181.986326
2	5542.644027
3	5254.52869
4	4834.035357
5	4747.372171
6	4692.957383
7	4646.652969
8	4554.833507
9	4535.314313
10	4523.653541
11	4508.555191
12	4494.108368
13	4476.190988
14	4472.107189
15	4470.037417
16	4463.994954
17	4435.838284
18	4430.348388
19	4424.784468
20	4423.719784
21	4423.719694
22	4418.684657
23	4418.639533
24	4417.02661
25	4415.831929
26	4415.813525
27	4391.925822
28	4384.512984
29	4382.564271
30	4374.775658
31	4366.235286
32	4360.302638
33	4358.941502
34	4358.512226
35	4344.717193
36	4335.388546
37	4327.609502
38	4326.441834
39	4326.441789
40	4323.462822
41	4316.362216
42	4316.123805
43	4315.98471
44	4312.583684
45	4307.101795
46	4307.054619
47	4302.434793
48	4301.61682
49	4299.324223
