iter	Passed	Remaining
0	8	393
1	16	404
2	23	368
3	35	406
4	48	438
5	60	443
6	76	472
7	92	483
8	104	476
9	118	474
10	130	464
11	142	449
12	154	438
13	166	428
14	178	415
15	189	402
16	200	388
17	215	382
18	230	375
19	244	367
20	259	358
21	272	346
22	283	332
23	295	320
24	306	306
25	317	293
26	329	280
27	340	267
28	351	254
29	363	242
30	375	230
31	386	217
32	397	204
33	408	192
34	420	180
35	431	167
36	445	156
37	457	144
38	472	133
39	483	120
40	494	108
41	505	96
42	516	84
43	527	71
44	538	59
45	550	47
46	561	35
47	572	23
48	584	11
49	595	0
