iter	Logloss
0	0.6244876572
1	0.5682348159
2	0.5219153506
3	0.4824639329
4	0.4497254864
5	0.4208391431
6	0.3967743383
7	0.3758370856
8	0.357460312
9	0.3428319325
10	0.3288464172
11	0.3167555588
12	0.3065274309
13	0.2975239526
14	0.2894094859
15	0.2826666024
16	0.2766786483
17	0.2709292591
18	0.2662969595
19	0.2618715825
20	0.2579035156
21	0.2523829894
22	0.2495943819
23	0.246978842
24	0.2446889323
25	0.2413249816
26	0.2396800395
27	0.2374899978
28	0.2349239552
29	0.2332212836
30	0.231866324
31	0.2299276661
32	0.2257706474
33	0.2247100432
34	0.223260551
35	0.2226935079
36	0.2206343403
37	0.2199938098
38	0.2163531717
39	0.2152938319
40	0.2147481398
41	0.2141706932
42	0.2137148614
43	0.2122338381
44	0.211510515
45	0.2107772864
46	0.2084871538
47	0.2080939676
48	0.2077291105
49	0.2071312953
