iter	Passed	Remaining
0	16	797
1	33	810
2	51	813
3	68	787
4	85	767
5	101	746
6	118	724
7	135	713
8	153	698
9	169	677
10	186	659
11	202	639
12	217	619
13	233	601
14	253	591
15	270	575
16	287	557
17	305	542
18	322	526
19	339	509
20	355	491
21	374	476
22	391	459
23	407	441
24	425	425
25	442	408
26	460	392
27	476	374
28	492	356
29	509	339
30	525	321
31	541	304
32	557	287
33	575	271
34	592	253
35	608	236
36	624	219
37	640	202
38	660	186
39	678	169
40	696	152
41	714	136
42	732	119
43	751	102
44	774	86
45	792	68
46	808	51
47	825	34
48	840	17
49	856	0
